#校對至U+2E34B

2CEB0	𬺰	jn
2D239	𭈹	rshqb
2D23A	𭈺	rtph
2D23B	𭈻	rahm
2D23C	𭈼	rraj
2D23D	𭈽	rlid
2D23E	𭈾	rahl
2D23F	𭈿	rmke
2D240	𭉀	ortm
2D241	𭉁	oryck
2D242	𭉂	rhov
2D243	𭉃	rcmt
2D244	𭉄	rhyu
2D245	𭉅	bhlk
2D246	𭉆	rpav
2D247	𭉇	rbmo
2D248	𭉈	rtjp
2D249	𭉉	rehr
2D24A	𭉊	rior
2D24A	𭉊	rmor
2D24B	𭉋	rtkk
2D24C	𭉌	rifp
2D24C	𭉌	rmfp
2D24D	𭉍	rilv
2D24E	𭉎	rycn
2D24F	𭉏	rvep
2D250	𭉐	rvmg
2D251	𭉑	rnlv
2D252	𭉒	slmnr
2D253	𭉓	rnlq
2D254	𭉔	qlmr
2D255	𭉕	rimi
2D256	𭉖	surp
2D257	𭉗	rvmr
2D258	𭉘	ovrr
2D259	𭉙	rtor
2D25A	𭉚	rgik
2D25B	𭉛	rqag
2D25B	𭉛	rqam
2D25B	𭉛	rqhxg
2D25B	𭉛	rqhxm
2D25C	𭉜	rqwg
2D25D	𭉝	rmnd
2D25E	𭉞	rgcl
2D25F	𭉟	rmca
2D260	𭉠	qcrdi
2D261	𭉡	rtog
2D262	𭉢	fbsmr
2D263	𭉣	rywg
2D264	𭉤	rymi
2D265	𭉥	bbyhn
2D266	𭉦	bcrp
2D267	𭉧	rfbu
2D268	𭉨	rogs
2D269	𭉩	royr
2D26A	𭉪	rhqi
2D26B	𭉫	rolh
2D26C	𭉬	rhdd
2D26D	𭉭	rkhg
2D26E	𭉮	rhsm
2D26E	𭉮	rism
2D26E	𭉮	rmsm
2D26F	𭉯	ryko
2D270	𭉰	rpmr
2D271	𭉱	rpjd
2D272	𭉲	rykk
2D273	𭉳	rbac
2D274	𭉴	reag
2D274	𭉴	ream
2D274	𭉴	rehg
2D274	𭉴	rehm
2D275	𭉵	thppr
2D276	𭉶	rimk
2D277	𭉷	rifm
2D277	𭉷	rmfm
2D278	𭉸	rifi
2D278	𭉸	rifm
2D278	𭉸	rmfi
2D278	𭉸	rmfm
2D279	𭉹	rnhi
2D27A	𭉺	rvsl
2D27B	𭉻	rviv
2D27C	𭉼	reog
2D27D	𭉽	orci
2D27E	𭉾	rjii
2D27F	𭉿	rmbn
2D280	𭊀	rryhv
2D281	𭊁	rqkf
2D282	𭊂	rdwg
2D283	𭊃	rddn
2D284	𭊄	rdlk
2D285	𭊅	eyql
2D286	𭊆	gkr
2D287	𭊇	rmcw
2D288	𭊈	rwtc
2D289	𭊉	rrsmr
2D28A	𭊊	rthj
2D28B	𭊋	rtjm
2D28C	𭊌	rypm
2D28D	𭊍	rllp
2D28E	𭊎	rrnlr
2D28F	𭊏	romb
2D290	𭊐	bromr
2D291	𭊑	rbdh
2D292	𭊒	rcro
2D293	𭊓	rhnq
2D294	𭊔	rhie
2D294	𭊔	rhik
2D295	𭊕	rbcu
2D296	𭊖	cor
2D297	𭊗	rhnh
2D298	𭊘	ryrl
2D299	𭊙	riho
2D29A	𭊚	rijo
2D29B	𭊛	rixp
2D29C	𭊜	rvdl
2D29D	𭊝	srhkr
2D29D	𭊝	srmkr
2D29E	𭊞	rnks
2D29F	𭊟	rvmi
2D2A0	𭊠	rvfd
2D2A1	𭊡	grtkr
2D2A2	𭊢	sfrp
2D2A3	𭊣	mrdhe
2D2A4	𭊤	rmbi
2D2A5	𭊥	rgce
2D2A6	𭊦	rddf
2D2A7	𭊧	rmnn
2D2A8	𭊨	rkrm
2D2A9	𭊩	rmwg
2D2AA	𭊪	rqav
2D2AB	𭊫	rtcb
2D2AC	𭊬	tgdp
2D2AD	𭊭	rtku
2D2AE	𭊮	rtmo
2D2AF	𭊯	rrrs
2D2B0	𭊰	rypf
2D2B1	𭊱	rrme
2D2B2	𭊲	rrvll
2D2B3	𭊳	ranp
2D2B4	𭊴	rhup
2D2B5	𭊵	rhnf
2D2B6	𭊶	rnnn
2D2B7	𭊷	rhol
2D2B8	𭊸	rbta
2D2B9	𭊹	ryio
2D2BA	𭊺	rinq
2D2BB	𭊻	rjty
2D2BC	𭊼	ewrhp
2D2BD	𭊽	rvfr
2D2BE	𭊾	rvfg
2D2BF	𭊿	rvfm
2D2C0	𭋀	rvfb
2D2C1	𭋁	riip
2D2C2	𭋂	rjqmc
2D2C3	𭋃	rslp
2D2C4	𭋄	rgbo
2D2C5	𭋅	rpkd
2D2C6	𭋆	tkr
2D2C7	𭋇	rtmk
2D2C8	𭋈	rwly
2D2C9	𭋉	rjby
2D2CA	𭋊	rwlw
2D2CB	𭋋	rwrc
2D2CC	𭋌	rfbm
2D2CD	𭋍	rsomb
2D2CE	𭋎	raya
2D2CF	𭋏	rwlm
2D2CF	𭋏	rwlv
2D2D0	𭋐	rbhj
2D2D1	𭋑	rhqq
2D2D2	𭋒	rhfl
2D2D3	𭋓	rhde
2D2D4	𭋔	rhaj
2D2D5	𭋕	royg
2D2D6	𭋖	rhlw
2D2D7	𭋗	rybj
2D2D8	𭋘	trtpr
2D2D9	𭋙	rife
2D2D9	𭋙	rmfe
2D2DA	𭋚	ybrp
2D2DB	𭋛	jrbtv
2D2DC	𭋜	rygv
2D2DD	𭋝	rjsk
2D2DE	𭋞	rdys
2D2DF	𭋟	rmwe
2D2E0	𭋠	grfbb
2D2E1	𭋡	rmgn
2D2E2	𭋢	rmwm
2D2E3	𭋣	rgkf
2D2E3	𭋣	rqkf
2D2E4	𭋤	rpkd
2D2E5	𭋥	rtwn
2D2E6	𭋦	rtja
2D2E7	𭋧	rrnlc
2D2E8	𭋨	rome
2D2E9	𭋩	rotq
2D2EA	𭋪	rpji
2D2EB	𭋫	retk
2D2EC	𭋬	rytb
2D2ED	𭋭	ryrb
2D2EE	𭋮	rvfb
2D2EF	𭋯	rvdo
2D2F0	𭋰	rmgb
2D2F1	𭋱	rgfd
2D2F2	𭋲	rjim
2D2F3	𭋳	rjjb
2D2F4	𭋴	rgrc
2D2F5	𭋵	grfbq
2D2F6	𭋶	rdlv
2D2F7	𭋷	rjrsj
2D2F8	𭋸	rpkd
2D2F9	𭋹	rpfd
2D2FA	𭋺	rpfe
2D2FB	𭋻	ryfd
2D2FC	𭋼	rtap
2D2FD	𭋽	rtae
2D2FE	𭋾	rrsjr
2D2FF	𭋿	room
2D300	𭌀	ocjrr
2D301	𭌁	romm
2D302	𭌂	ryrx
2D303	𭌃	riop
2D304	𭌄	ryrb
2D305	𭌅	rtqv
2D306	𭌆	rshe
2D307	𭌇	rnlq
2D308	𭌈	rvfw
2D309	𭌉	slrai
2D30A	𭌊	grbuu
2D30B	𭌋	rjjn
2D30B	𭌋	rjjv
2D30C	𭌌	jrrv
2D30D	𭌍	rgcc
2D30E	𭌎	rjau
2D30F	𭌏	rgem
2D310	𭌐	mgphp
2D311	𭌑	rpfc
2D312	𭌒	rpdc
2D313	𭌓	rir
2D314	𭌔	rmmjk
2D314	𭌔	rmnjk
2D315	𭌕	rtyg
2D316	𭌖	rtdd
2D317	𭌗	rycn
2D317	𭌗	rymn
2D318	𭌘	rwfn
2D319	𭌙	rbca
2D31A	𭌚	ryfe
2D31B	𭌛	octrr
2D31C	𭌜	ropo
2D31D	𭌝	rooi
2D31D	𭌝	rook
2D31E	𭌞	romb
2D31F	𭌟	rtgs
2D320	𭌠	trgyo
2D321	𭌡	rnmm
2D322	𭌢	rtjj
2D323	𭌣	rsem
2D324	𭌤	rgki
2D325	𭌥	rabe
2D326	𭌦	rypf
2D327	𭌧	rthf
2D328	𭌨	rfrhq
2D329	𭌩	rana
2D32A	𭌪	rrmbr
2D32B	𭌫	rbtav
2D32C	𭌬	rhyb
2D32D	𭌭	rohc
2D32E	𭌮	rvmb
2D32F	𭌯	rvfi
2D330	𭌰	rqhu
2D331	𭌱	rser
2D332	𭌲	rbkg
2D333	𭌳	hgrhr
2D334	𭌴	ruqii
2D335	𭌵	rtgi
2D336	𭌶	rhde
2D337	𭌷	ocrrr
2D338	𭌸	rorq
2D339	𭌹	rifb
2D339	𭌹	rmfb
2D33A	𭌺	ria
2D33B	𭌻	rsxf
2D33C	𭌼	reow
2D33D	𭌽	rvdc
2D33E	𭌾	rtag
2D33F	𭌿	ryui
2D33F	𭌿	ryul
2D340	𭍀	rfbf
2D341	𭍁	hricr
2D341	𭍁	hridr
2D342	𭍂	rbff
2D343	𭍃	rpom
2D344	𭍄	rydj
2D345	𭍅	rsjr
2D346	𭍆	rmbr
2D347	𭍇	rsff
2D348	𭍈	rayv
2D349	𭍉	rhxf
2D34A	𭍊	rcue
2D34B	𭍋	rvfc
2D34C	𭍌	rhyp
2D34D	𭍍	rork
2D34E	𭍎	rypj
2D34F	𭍏	ryrc
2D350	𭍐	ryuo
2D351	𭍑	rbbt
2D352	𭍒	rawg
2D353	𭍓	ridai
2D354	𭍔	rchwj
2D355	𭍕	rbcf
2D356	𭍖	rckai
2D357	𭍗	rftaw
2D358	𭍘	rvfu
2D359	𭍙	rrnli
2D35A	𭍚	whn
2D35B	𭍛	wci
2D35C	𭍜	wosu
2D35D	𭍝	wgi
2D35E	𭍞	woa
2D35F	𭍟	wem
2D360	𭍠	qmwr
2D361	𭍡	wri
2D362	𭍢	wkhg
2D363	𭍣	wnis
2D364	𭍤	wytj
2D365	𭍥	qmwsl
2D366	𭍦	wtys
2D367	𭍧	wymb
2D368	𭍨	wruu
2D369	𭍩	wihr
2D36A	𭍪	wrsj
2D36B	𭍫	wiff
2D36B	𭍫	wmff
2D36C	𭍬	wqmc
2D36D	𭍭	wwtc
2D36E	𭍮	wrirm
2D36F	𭍯	wnwf
2D370	𭍰	weog
2D371	𭍱	wmgg
2D372	𭍲	wmoll
2D373	𭍳	wcwa
2D374	𭍴	womo
2D375	𭍵	whbt
2D376	𭍶	pgwr
2D377	𭍷	wmirm
2D378	𭍸	wtox
2D379	𭍹	wcnln
2D37A	𭍺	og
2D37B	𭍻	lsg
2D37C	𭍼	vngi
2D37D	𭍽	gpd
2D37E	𭍾	gje
2D37F	𭍿	gmt
2D380	𭎀	gpp
2D381	𭎁	hpg
2D382	𭎂	goo
2D383	𭎃	glbu
2D384	𭎄	gpsh
2D385	𭎅	gmms
2D386	𭎆	miig
2D387	𭎇	fhig
2D388	𭎈	bgnd
2D389	𭎉	gniy
2D38A	𭎊	hag
2D38B	𭎋	ghml
2D38C	𭎌	gos
2D38D	𭎍	vsg
2D38E	𭎎	gcmj
2D38F	𭎏	gsll
2D390	𭎐	gug
2D391	𭎑	gmf
2D392	𭎒	ggdi
2D393	𭎓	gaj
2D394	𭎔	gymp
2D395	𭎕	ghiv
2D396	𭎖	ghnb
2D397	𭎗	hug
2D398	𭎘	goju
2D399	𭎙	trg
2D39A	𭎚	gej
2D39B	𭎛	gsmm
2D39C	𭎜	gqki
2D39D	𭎝	ghkr
2D39D	𭎝	gmkr
2D39E	𭎞	gmrt
2D39F	𭎟	gmfr
2D3A0	𭎠	gmfg
2D3A1	𭎡	gpa
2D3A2	𭎢	wig
2D3A3	𭎣	gryo
2D3A4	𭎤	goam
2D3A5	𭎥	gjd
2D3A6	𭎦	edg
2D3A7	𭎧	gpw
2D3A8	𭎨	gehk
2D3A9	𭎩	ggcg
2D3AA	𭎪	gmtt
2D3AA	𭎪	gmyj
2D3AB	𭎫	gqmv
2D3AC	𭎬	ggtj
2D3AD	𭎭	ycg
2D3AD	𭎭	ypcg
2D3AE	𭎮	abg
2D3AF	𭎯	gab
2D3B0	𭎰	ghdd
2D3B1	𭎱	gyhl
2D3B2	𭎲	ykg
2D3B3	𭎳	gyrv
2D3B4	𭎴	nbg
2D3B5	𭎵	qpg
2D3B6	𭎶	gjir
2D3B7	𭎷	gqjt
2D3B8	𭎸	gmbc
2D3B9	𭎹	gmwl
2D3BA	𭎺	gkbl
2D3BB	𭎻	gsko
2D3BC	𭎼	grav
2D3BD	𭎽	lbg
2D3BE	𭎾	ghxe
2D3BF	𭎿	ghyh
2D3C0	𭏀	hmmk
2D3C1	𭏁	gbhn
2D3C2	𭏂	pvg
2D3C3	𭏃	pmg
2D3C4	𭏄	erg
2D3C5	𭏅	gybb
2D3C6	𭏆	gjlo
2D3C7	𭏇	ylg
2D3C8	𭏈	eug
2D3C9	𭏉	gew
2D3CA	𭏊	gstq
2D3CB	𭏋	gnhd
2D3CC	𭏌	gqkf
2D3CD	𭏍	gtmh
2D3CE	𭏎	gjpa
2D3CF	𭏏	arg
2D3D0	𭏐	guju
2D3D1	𭏑	okg
2D3D2	𭏒	golk
2D3D3	𭏓	oeig
2D3D4	𭏔	gckn
2D3D5	𭏕	gbmm
2D3D6	𭏖	gitb
2D3D7	𭏗	gywv
2D3D8	𭏘	gytk
2D3D9	𭏙	ipg
2D3DA	𭏚	ndg
2D3DB	𭏛	gbrt
2D3DC	𭏜	ghye
2D3DD	𭏝	ddg
2D3DE	𭏞	mooog
2D3DF	𭏟	gypm
2D3E0	𭏠	gfbg
2D3E1	𭏡	gumg
2D3E2	𭏢	hig
2D3E3	𭏣	ghyb
2D3E4	𭏤	gyhr
2D3E5	𭏥	gnof
2D3E6	𭏦	gtgt
2D3E7	𭏧	gjbd
2D3E8	𭏨	gbmw
2D3E9	𭏩	gfcu
2D3EA	𭏪	mog
2D3EB	𭏫	gtkt
2D3EC	𭏬	gwjj
2D3ED	𭏭	fkg
2D3EE	𭏮	hplbk
2D3EF	𭏯	oghdv
2D3F0	𭏰	elg
2D3F1	𭏱	giil
2D3F2	𭏲	gihv
2D3F3	𭏳	jeg
2D3F4	𭏴	gsja
2D3F5	𭏵	gsmb
2D3F6	𭏶	tsg
2D3F7	𭏷	dog
2D3F8	𭏸	gylo
2D3F9	𭏹	gorn
2D3FA	𭏺	ebg
2D3FB	𭏻	ylg
2D3FC	𭏼	yig
2D3FD	𭏽	gyge
2D3FE	𭏾	ganj
2D3FF	𭏿	ipoog
2D400	𭐀	gmwm
2D401	𭐁	gypp
2D402	𭐂	beg
2D403	𭐃	hjug
2D404	𭐄	gnbg
2D405	𭐅	tmnau
2D406	𭐆	gubuu
2D407	𭐇	ghdh
2D408	𭐈	ghok
2D409	𭐉	efg
2D40A	𭐊	ietcg
2D40B	𭐋	jrg
2D40C	𭐌	gtst
2D40D	𭐍	wwwg
2D40E	𭐎	gtye
2D40F	𭐏	gmwb
2D410	𭐐	gafc
2D411	𭐑	wgmk
2D411	𭐑	wgnjk
2D412	𭐒	gksr
2D413	𭐓	gdkni
2D414	𭐔	gbks
2D415	𭐕	gtno
2D416	𭐖	grmi
2D417	𭐗	grjf
2D418	𭐘	gfomd
2D419	𭐙	grni
2D41A	𭐚	gtmfr
2D41B	𭐛	gtjtd
2D41C	𭐜	gfmbr
2D41D	𭐝	hehh
2D41E	𭐞	hemrt
2D41F	𭐟	vvhe
2D420	𭐠	mmhe
2D421	𭐡	phhe
2D422	𭐢	tmhe
2D423	𭐣	hmhe
2D424	𭐤	yihue
2D425	𭐥	omhe
2D426	𭐦	ycmhe
2D427	𭐧	ddhe
2D428	𭐨	geqm
2D429	𭐩	ieihq
2D42A	𭐪	ieice
2D42B	𭐫	bbpe
2D42C	𭐬	nwle
2D42D	𭐭	geytr
2D42E	𭐮	hambe
2D42F	𭐯	bche
2D430	𭐰	hjmbe
2D431	𭐱	tuhe
2D432	𭐲	mehdw
2D433	𭐳	njii
2D434	𭐴	nini
2D435	𭐵	nisk
2D436	𭐶	nne
2D437	𭐷	nibgr
2D438	𭐸	nikoo
2D439	𭐹	nnqhp
2D43A	𭐺	ykhg
2D43B	𭐻	ykmmi
2D43C	𭐼	unhwj
2D43D	𭐽	nndoo
2D43E	𭐾	nnkrd
2D43F	𭐿	ykoir
2D440	𭑀	nnudw
2D441	𭑁	ykbhx
2D442	𭑂	knk
2D443	𭑃	kmd
2D444	𭑄	ukk
2D445	𭑅	ksb
2D446	𭑆	mkmmi
2D447	𭑇	mkmmi
2D448	𭑈	mkmk
2D449	𭑉	crk
2D44A	𭑊	fqy
2D44B	𭑋	igk
2D44C	𭑌	qoss
2D44D	𭑍	rrk
2D44E	𭑎	ykyj
2D44F	𭑏	nwk
2D450	𭑐	howyi
2D451	𭑑	bmik
2D452	𭑒	owlk
2D453	𭑓	jdki
2D454	𭑔	mnhqo
2D455	𭑕	hik
2D455	𭑕	hok
2D456	𭑖	fqjb
2D456	𭑖	fqylb
2D457	𭑗	kmwg
2D458	𭑘	jek
2D459	𭑙	mkan
2D45A	𭑚	hkbb
2D45B	𭑛	ykmfr
2D45C	𭑜	mukq
2D45D	𭑝	kogg
2D45E	𭑞	ewk
2D45F	𭑟	obk
2D460	𭑠	kwjc
2D461	𭑡	hodk
2D462	𭑢	tkjk
2D463	𭑣	koga
2D464	𭑤	mkk
2D465	𭑥	kanin
2D466	𭑦	mfkcs
2D467	𭑧	vy
2D468	𭑨	fv
2D469	𭑩	nsv
2D46A	𭑪	vsh
2D46B	𭑫	vps
2D46C	𭑬	vyv
2D46D	𭑭	ruv
2D46E	𭑮	vq
2D46F	𭑯	vpk
2D470	𭑰	vbu
2D471	𭑱	vwl
2D472	𭑲	lmv
2D473	𭑳	vbr
2D474	𭑴	vnih
2D475	𭑵	vsv
2D476	𭑶	obv
2D477	𭑷	vaj
2D478	𭑸	vlbv
2D479	𭑹	vtk
2D47A	𭑺	vit
2D47B	𭑻	vswl
2D47C	𭑼	vrd
2D47D	𭑽	vlsp
2D47E	𭑾	vmth
2D47F	𭑿	jpcv
2D480	𭒀	mkv
2D481	𭒁	mgv
2D482	𭒂	rev
2D483	𭒃	vnhx
2D484	𭒄	vcsp
2D485	𭒅	vsjl
2D486	𭒆	vslu
2D487	𭒇	vwpp
2D488	𭒈	vbuh
2D489	𭒉	vhae
2D48A	𭒊	vdjv
2D48B	𭒋	vvmj
2D48C	𭒌	vveq
2D48D	𭒍	mvhk
2D48E	𭒎	vqku
2D48F	𭒏	vtgf
2D490	𭒐	euv
2D491	𭒑	vyrb
2D492	𭒒	sevv
2D493	𭒓	ddv
2D494	𭒔	vtmr
2D495	𭒕	rev
2D496	𭒖	vyko
2D497	𭒗	vnwu
2D498	𭒘	okv
2D499	𭒙	voib
2D49A	𭒚	vorb
2D49B	𭒛	vjpu
2D49C	𭒜	vnlw
2D49D	𭒝	viv
2D49E	𭒞	erv
2D49F	𭒟	vvfg
2D4A0	𭒠	vnhb
2D4A1	𭒡	vtxf
2D4A2	𭒢	vmbd
2D4A3	𭒣	vtbo
2D4A4	𭒤	vhkb
2D4A5	𭒥	vhxs
2D4A6	𭒦	vmak
2D4A7	𭒧	vhok
2D4A8	𭒨	vjcb
2D4A9	𭒩	vmbe
2D4AA	𭒪	vmmc
2D4AB	𭒫	vlvk
2D4AC	𭒬	vorb
2D4AD	𭒭	vmtp
2D4AE	𭒮	vtaa
2D4AF	𭒯	tsjv
2D4B0	𭒰	lviov
2D4B0	𭒰	lvmov
2D4B1	𭒱	bcjv
2D4B2	𭒲	jbcv
2D4B3	𭒳	vipo
2D4B4	𭒴	vayv
2D4B5	𭒵	vvfv
2D4B6	𭒶	ndmn
2D4B7	𭒷	ndlu
2D4B8	𭒸	ndi
2D4B9	𭒹	ndks
2D4BA	𭒺	ndhni
2D4BB	𭒻	ndik
2D4BC	𭒼	ndsu
2D4BD	𭒽	ndbm
2D4BE	𭒾	ndwl
2D4BF	𭒿	ndhqm
2D4C0	𭓀	ndtmm
2D4C1	𭓁	ndklg
2D4C2	𭓂	ndvif
2D4C3	𭓃	ndjru
2D4C4	𭓄	ndqse
2D4C5	𭓅	ndbnd
2D4C6	𭓆	jdino
2D4C7	𭓇	lbnd
2D4C8	𭓈	ndmpm
2D4C9	𭓉	ndqmb
2D4CA	𭓊	ndkmr
2D4CB	𭓋	fbrnd
2D4CC	𭓌	ndomb
2D4CD	𭓍	ndjbm
2D4CE	𭓎	ndlsd
2D4CF	𭓏	ndmrw
2D4D0	𭓐	ndtlk
2D4D1	𭓑	ndwp
2D4D2	𭓒	ndamo
2D4D3	𭓓	fdng
2D4D4	𭓔	ydkni
2D4D5	𭓕	lbnd
2D4D6	𭓖	jdbms
2D4D7	𭓗	lsbnd
2D4D8	𭓘	lbnd
2D4D9	𭓙	jdlga
2D4DA	𭓚	fdjrr
2D4DB	𭓛	ndnuu
2D4DC	𭓜	bdytg
2D4DD	𭓝	vfndd
2D4DE	𭓞	ju
2D4DF	𭓟	jmvh
2D4E0	𭓠	joj
2D4E1	𭓡	jau
2D4E2	𭓢	jje
2D4E3	𭓣	jtm
2D4E4	𭓤	jklb
2D4E5	𭓥	jyr
2D4E6	𭓦	jhd
2D4E7	𭓧	jhke
2D4E8	𭓨	jtmm
2D4E9	𭓩	jnip
2D4EA	𭓪	jfmu
2D4EB	𭓫	jhbu
2D4EC	𭓬	jniq
2D4ED	𭓭	jod
2D4EE	𭓮	jjkp
2D4EF	𭓯	jhjr
2D4F0	𭓰	jkbq
2D4F1	𭓱	jlwi
2D4F2	𭓲	jnbg
2D4F2	𭓲	jnbq
2D4F3	𭓳	jytn
2D4F4	𭓴	jmgn
2D4F5	𭓵	jtd
2D4F6	𭓶	jyaj
2D4F7	𭓷	jylh
2D4F8	𭓸	jbmb
2D4F9	𭓹	jhoo
2D4FA	𭓺	jpjd
2D4FB	𭓻	jeph
2D4FC	𭓼	jegi
2D4FD	𭓽	jnou
2D4FE	𭓾	jmuk
2D4FF	𭓿	jlac
2D500	𭔀	jhyu
2D501	𭔁	joak
2D502	𭔂	jykh
2D503	𭔃	jytr
2D504	𭔄	jsbn
2D505	𭔅	jvma
2D506	𭔆	jmue
2D507	𭔇	jmsp
2D508	𭔈	jmvio
2D509	𭔉	jhui
2D50A	𭔊	jcai
2D50B	𭔋	jphr
2D50C	𭔌	jmua
2D50D	𭔍	joyk
2D50E	𭔎	jhdp
2D50F	𭔏	jvmr
2D510	𭔐	jvvd
2D511	𭔑	jlpu
2D512	𭔒	jmhqi
2D513	𭔓	jogf
2D514	𭔔	jlyv
2D515	𭔕	jtwk
2D516	𭔖	jvmg
2D517	𭔗	jtbp
2D518	𭔘	jvmm
2D519	𭔙	jnor
2D51A	𭔚	jygv
2D51B	𭔛	jrmvm
2D51C	𭔜	jhqd
2D51D	𭔝	jptb
2D51E	𭔞	jnpd
2D51F	𭔟	jmgc
2D520	𭔠	jrjcm
2D521	𭔡	jljy
2D522	𭔢	jdfu
2D523	𭔣	jthb
2D524	𭔤	jnnsd
2D525	𭔥	jnysf
2D526	𭔦	jnher
2D527	𭔧	jnyok
2D528	𭔨	jnhdv
2D529	𭔩	msdi
2D52A	𭔪	scdi
2D52B	𭔫	mndi
2D52C	𭔬	vlnii
2D52D	𭔭	gddi
2D52E	𭔮	yydi
2D52F	𭔯	ninii
2D530	𭔰	mtdi
2D531	𭔱	mrvi
2D532	𭔲	supdi
2D533	𭔳	aipd
2D534	𭔴	npdi
2D535	𭔵	jgdi
2D536	𭔶	tvdi
2D537	𭔷	nudi
2D538	𭔸	tgdi
2D539	𭔹	tgdi
2D53A	𭔺	ocdi
2D53B	𭔻	evdi
2D53C	𭔼	nvdi
2D53D	𭔽	ncdi
2D53E	𭔾	tgdi
2D53F	𭔿	tbmdi
2D540	𭕀	gtdi
2D541	𭕁	asei
2D542	𭕂	wcdi
2D543	𭕃	jimgg
2D544	𭕄	iih
2D545	𭕅	fnhe
2D546	𭕆	fbo
2D547	𭕇	mkf
2D548	𭕈	fsmn
2D549	𭕉	ytf
2D54A	𭕊	fyhv
2D54B	𭕋	ihof
2D54B	𭕋	mhof
2D54C	𭕌	fytp
2D54D	𭕍	cumj
2D54E	𭕎	muw
2D54F	𭕏	muaph
2D550	𭕐	ymiku
2D551	𭕑	muwmv
2D552	𭕒	yfiku
2D553	𭕓	ywiku
2D554	𭕔	sb
2D555	𭕕	sdm
2D556	𭕖	sike
2D557	𭕗	sppd
2D558	𭕘	sbu
2D559	𭕙	sqq
2D55A	𭕚	sgpd
2D55B	𭕛	slmi
2D55C	𭕜	shbr
2D55D	𭕝	sej
2D55E	𭕞	shoe
2D55F	𭕟	supd
2D560	𭕠	shjm
2D561	𭕡	sioq
2D561	𭕡	smoq
2D562	𭕢	soglc
2D563	𭕣	sqpr
2D564	𭕤	sbcn
2D565	𭕥	smue
2D566	𭕦	aoso
2D567	𭕧	suyhv
2D568	𭕨	suher
2D569	𭕩	shui
2D56A	𭕪	shrb
2D56B	𭕫	shoo
2D56C	𭕬	sykq
2D56D	𭕭	sqlb
2D56E	𭕮	srjkp
2D56F	𭕯	sluq
2D570	𭕰	stmb
2D571	𭕱	spbvk
2D572	𭕲	mkshu
2D573	𭕳	sushx
2D574	𭕴	sroii
2D574	𭕴	sroml
2D575	𭕵	semg
2D576	𭕶	saibi
2D577	𭕷	sqhb
2D578	𭕸	sddr
2D579	𭕹	srqor
2D57A	𭕺	sufba
2D57B	𭕻	sromo
2D57C	𭕼	sbui
2D57D	𭕽	srqoo
2D57E	𭕾	hum
2D57F	𭕿	humi
2D580	𭖀	uno
2D581	𭖁	ummm
2D582	𭖂	umd
2D583	𭖃	uno
2D584	𭖄	umy
2D585	𭖅	umi
2D586	𭖆	umsu
2D587	𭖇	uylm
2D588	𭖈	ulll
2D589	𭖉	ulbu
2D58A	𭖊	bcu
2D58B	𭖋	umvn
2D58C	𭖌	uam
2D58D	𭖍	ubm
2D58E	𭖎	ulll
2D58E	𭖎	ulln
2D58F	𭖏	uog
2D590	𭖐	uylb
2D591	𭖑	uph
2D592	𭖒	uqm
2D592	𭖒	uyg
2D593	𭖓	utj
2D594	𭖔	kru
2D595	𭖕	usmg
2D596	𭖖	uma
2D597	𭖗	ujes
2D598	𭖘	uklg
2D599	𭖙	ufmu
2D59A	𭖚	unin
2D59B	𭖛	ueu
2D59C	𭖜	eou
2D59D	𭖝	uvnd
2D59E	𭖞	uvii
2D59F	𭖟	uyk
2D5A0	𭖠	ugpm
2D5A1	𭖡	ujru
2D5A2	𭖢	uijb
2D5A3	𭖣	ubcr
2D5A4	𭖤	uhqb
2D5A5	𭖥	uhel
2D5A6	𭖦	ucor
2D5A7	𭖧	uemg
2D5A8	𭖨	uice
2D5A9	𭖩	ugtj
2D5AA	𭖪	uqmy
2D5AB	𭖫	urmr
2D5AC	𭖬	uaht
2D5AD	𭖭	uyaj
2D5AE	𭖮	uyhm
2D5AE	𭖮	uyhv
2D5AF	𭖯	ouk
2D5B0	𭖰	unlp
2D5B1	𭖱	usjr
2D5B2	𭖲	lou
2D5B3	𭖳	utmo
2D5B4	𭖴	uwls
2D5B5	𭖵	uwpp
2D5B6	𭖶	ufhu
2D5B7	𭖷	unsp
2D5B8	𭖸	uhak
2D5B9	𭖹	uhju
2D5BA	𭖺	uomm
2D5BB	𭖻	uhsl
2D5BB	𭖻	usil
2D5BC	𭖼	uhjg
2D5BD	𭖽	hfu
2D5BE	𭖾	utgp
2D5BE	𭖾	utqp
2D5BF	𭖿	upmm
2D5C0	𭗀	uqlr
2D5C1	𭗁	udmm
2D5C2	𭗂	ubfmu
2D5C3	𭗃	uhau
2D5C4	𭗄	ubve
2D5C5	𭗅	undf
2D5C6	𭗆	utct
2D5C7	𭗇	ugni
2D5C8	𭗈	ujpu
2D5C9	𭗉	uihs
2D5CA	𭗊	uyko
2D5CB	𭗋	ufhg
2D5CC	𭗌	uhrm
2D5CD	𭗍	uytj
2D5CE	𭗎	ipu
2D5CF	𭗏	ujpu
2D5D0	𭗐	umjk
2D5D0	𭗐	unjk
2D5D1	𭗑	usmb
2D5D2	𭗒	uhok
2D5D3	𭗓	uhok
2D5D4	𭗔	udog
2D5D5	𭗕	umme
2D5D6	𭗖	ugrr
2D5D7	𭗗	utbf
2D5D8	𭗘	utco
2D5D9	𭗙	uomu
